,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695809541899,0.31933594,0.9248047,-0.11425781,-0.0625,-0.34375,0.28125,0.0,0.0,0.0
1,1695809541928,0.31445312,0.9316406,-0.123046875,-0.125,-0.03125,0.03125,0.0,0.0,0.0
2,1695809541988,0.31152344,0.9160156,-0.12207031,0.375,0.21875,0.03125,0.0,0.0,0.0
3,1695809542019,0.3125,0.92089844,-0.119140625,0.125,0.46875,-0.09375,0.0,0.0,0.0
4,1695809542048,0.3173828,0.9316406,-0.12402344,0.125,0.03125,-0.03125,0.0,0.0,0.0
5,1695809542138,0.31640625,0.92285156,-0.12207031,-0.34375,-0.5,-0.03125,0.0,0.0,0.0
6,1695809542140,0.31445312,0.92871094,-0.12207031,-0.3125,-0.40625,0.21875,0.0,0.0,0.0
7,1695809542169,0.3173828,0.9238281,-0.125,0.3125,-0.15625,0.03125,0.0,0.0,0.0
8,1695809542229,0.31347656,0.9248047,-0.13378906,-0.125,-0.40625,0.15625,-14.125,37.0625,-136.375
9,1695809542261,0.3076172,0.9248047,-0.125,-0.0625,-0.09375,-0.15625,0.0,0.0,0.0
10,1695809542289,0.31445312,0.9345703,-0.13378906,-0.0625,0.09375,0.15625,0.0,0.0,0.0
11,1695809542350,0.3251953,0.92285156,-0.13085938,-0.0625,-0.625,0.03125,0.0,0.0,0.0
12,1695809542379,0.31347656,0.91796875,-0.13183594,-0.78125,-1.84375,0.21875,0.0,0.0,0.0
13,1695809542409,0.31054688,0.9238281,-0.12597656,-0.78125,-1.78125,0.28125,0.0,0.0,0.0
14,1695809542472,0.31152344,0.92871094,-0.12988281,-0.3125,-1.0,0.40625,0.0,0.0,0.0
15,1695809542503,0.31347656,0.9267578,-0.12207031,-0.0625,-1.0625,0.21875,0.0,0.0,0.0
16,1695809542532,0.32421875,0.9248047,-0.12597656,-0.3125,-0.9375,0.28125,0.0,0.0,0.0
17,1695809542590,0.31152344,0.9267578,-0.11425781,-0.71875,-0.4375,0.09375,0.0,0.0,0.0
18,1695809542619,0.32421875,0.9267578,-0.119140625,0.0625,0.28125,0.03125,0.0,0.0,0.0
19,1695809542648,0.3203125,0.93359375,-0.14648438,-0.53125,-0.40625,-0.21875,0.0,0.0,0.0
